City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
230,tchintabaraden,15.8969,5.7985,78.98,9,31,10.67,NE,1712464885
231,newman,37.3138,-121.0208,53.83,78,84,1.99,US,1712464885
232,dryden,49.7833,-92.7503,43.09,42,20,13.8,CA,1712464614
233,coxen hole,16.3244,-86.5366,79.88,83,20,12.66,HN,1712464886
234,berezovyy,51.6667,135.7,29.93,84,100,7.67,RU,1712464886
235,ceerigaabo,10.6162,47.368,67.71,49,69,1.63,SO,1712464886
236,college,64.8569,-147.8028,39.18,49,75,5.75,US,1712464886
237,christchurch,-43.5333,172.6333,65.53,70,3,19.57,NZ,1712464854
238,tommot,58.9564,126.2925,14.32,88,100,9.01,RU,1712464887
239,kone,-21.0595,164.8658,82.47,49,99,9.4,NC,1712464887
240,choibalsan,48.0667,114.5,43.86,33,94,14.18,MN,1712464887
241,san antonio de pale,-1.4014,5.6325,83.26,78,83,4.41,GQ,1712464888
242,katsuura,35.1333,140.3,61.23,94,100,5.12,JP,1712464888
243,hithadhoo,-0.6,73.0833,85.06,74,88,9.1,MV,1712464888
244,pataudi,28.3167,76.7833,84.16,9,0,8.37,IN,1712464888
245,san luis de la loma,17.2706,-100.8939,76.95,67,3,7.2,MX,1712464889
246,nosy varika,-20.5833,48.5333,76.59,81,16,1.74,MG,1712464889
247,solnechnyy,50.7214,136.6319,31.03,93,100,6.98,RU,1712464889
248,gadzhiyevo,69.2551,33.3362,15.64,95,77,3.49,RU,1712464889
249,peterhead,57.5058,-1.7981,45.45,83,65,25.55,GB,1712464890
250,ribeira grande,38.5167,-28.7,62.78,91,73,21.99,PT,1712464890
251,zheleznodorozhnyy,55.7503,38.0042,41.36,91,100,5.01,RU,1712464890
252,cabo san lucas,22.8909,-109.9124,69.51,71,100,5.37,MX,1712464629
253,tabas,33.5959,56.9244,79.66,15,17,4.56,IR,1712464890
254,meulaboh,4.1363,96.1285,86.92,68,74,6.08,ID,1712464891
255,faya-largeau,17.9257,19.1043,79.05,11,79,25.93,TD,1712464891
256,dajal,29.5577,70.3762,93.0,8,0,7.61,PK,1712464891
257,aykhal,66.0,111.5,16.93,91,100,29.95,RU,1712464891
258,el granada,37.5027,-122.4694,52.36,76,75,12.66,US,1712464891
259,pama,11.2497,0.7075,84.31,51,86,4.65,BF,1712464892
260,georgiyevka,43.0369,74.7114,55.44,71,40,8.95,KZ,1712464892
261,enewetak,11.3474,162.3373,81.57,78,71,17.72,MH,1712464892
262,maralal,1.0968,36.698,63.0,79,100,4.21,KE,1712464892
263,kwaksan,39.6875,125.0828,59.34,40,12,9.13,KP,1712464892
264,usinsk,65.9939,57.5281,23.14,95,100,25.17,RU,1712464893
265,khanu woralaksaburi,16.0617,99.8606,104.0,28,5,7.0,TH,1712464893
266,zhangye,38.9342,100.4517,65.16,18,24,1.57,CN,1712464756
267,nieuw amsterdam,5.8833,-55.0833,77.16,87,99,6.13,SR,1712464893
268,fuglafjordur,62.244,-6.814,46.87,85,97,21.7,FO,1712464894
269,khandyga,62.6667,135.6,28.04,86,100,2.8,RU,1712464894
270,haiku-pauwela,20.9219,-156.3051,71.22,87,40,16.11,US,1712464894
271,gunjur,13.2019,-16.7339,68.07,73,0,6.91,GM,1712464894
272,filey,54.21,-0.2892,49.78,81,26,8.99,GB,1712464894
273,porto novo,6.4965,2.6036,82.22,86,93,4.5,BJ,1712464895
274,taroa,8.7058,171.2275,81.75,82,93,19.91,MH,1712464895
275,brokopondo,4.75,-55.1667,76.89,81,84,8.41,SR,1712464895
276,zhumysker,49.3333,49.4,45.14,77,99,10.33,KZ,1712464895
277,yangambi,0.8102,24.4336,70.43,99,100,1.74,CD,1712464895
278,acajutla,13.5928,-89.8275,82.26,76,24,8.88,SV,1712464895
279,las lomitas,-24.7096,-60.593,80.92,70,100,2.91,AR,1712464896
280,antonio enes,-16.2325,39.9086,82.47,74,12,6.33,MZ,1712464896
281,ridgecrest,35.6225,-117.6709,50.65,39,0,15.01,US,1712464825
282,lospalos,-8.5186,127.0025,83.5,72,99,3.09,TL,1712464897
283,rio segundo,-31.6526,-63.9099,57.0,96,92,4.94,AR,1712464897
284,quincy,42.2529,-71.0023,39.25,88,100,13.8,US,1712464897
285,reggane,26.7158,0.1714,78.03,11,8,7.49,DZ,1712464897
286,conde,-7.2597,-34.9075,78.26,94,40,2.3,BR,1712464898
287,egilsstadir,65.2653,-14.3948,30.11,93,100,26.46,IS,1712464898
288,siocon,7.7061,122.1353,85.41,74,79,9.46,PH,1712464898
289,callao,-12.0667,-77.15,75.72,83,0,11.5,PE,1712464898
290,inhambane,-23.865,35.3833,74.98,87,88,11.9,MZ,1712464898
291,port blair,11.6667,92.75,88.72,62,94,5.79,IN,1712464898
292,itoman,26.1247,127.6694,74.17,94,75,6.91,JP,1712464899
293,bardai,11.65,7.2333,82.31,43,99,4.59,NG,1712464899
294,bunia,1.5667,30.25,66.09,98,100,2.89,CD,1712464899
295,maceio,-9.6658,-35.7353,78.24,94,40,2.3,BR,1712464621
296,pedra branca,-5.4542,-39.7172,70.38,94,98,2.17,BR,1712464900
297,birjand,32.8663,59.2211,70.27,17,0,16.11,IR,1712464645
298,hassi messaoud,31.6804,6.0729,67.86,30,0,5.75,DZ,1712464900
299,shibata,37.95,139.3333,60.67,72,75,8.05,JP,1712464900
300,mount pearl,47.5166,-52.7813,34.32,95,100,12.66,CA,1712464642
301,soio,-6.1349,12.3689,79.23,87,100,4.88,AO,1712464901
302,morondava,-20.2833,44.2833,78.49,60,0,4.5,MG,1712464901
303,juneau,58.3019,-134.4197,34.41,97,75,10.36,US,1712464901
304,bermeo,43.4209,-2.7215,64.11,75,100,1.32,ES,1712464901
305,semnan,35.5729,53.3971,70.02,26,91,7.09,IR,1712464901
306,loei,17.4167,101.5,85.37,25,0,4.12,TH,1712464901
307,ola,59.5833,151.2833,29.14,79,11,5.26,RU,1712464902
308,baruun-urt,46.6806,113.2792,50.7,30,99,14.38,MN,1712464902
309,kafue,-15.7691,28.1814,66.54,96,100,2.35,ZM,1712464902
310,port douglas,-16.4833,145.4667,83.17,77,100,4.81,AU,1712464902
311,aliade,7.2964,8.487,79.65,75,92,5.37,NG,1712464902
312,jennings,38.7192,-90.2604,53.62,53,0,17.27,US,1712464903
313,chimore,-16.9833,-65.1333,74.75,91,100,1.54,BO,1712464903
314,palmas,-10.2128,-48.3603,78.67,89,75,2.3,BR,1712464673
315,petropavlovsk-kamchatsky,53.0452,158.6483,37.99,73,75,13.0,RU,1712464903
316,revda,56.801,59.9303,27.57,82,100,11.45,RU,1712464903
317,fortaleza,-3.7227,-38.5247,80.73,89,20,2.3,BR,1712464858
318,ribas do rio pardo,-20.4431,-53.7592,73.78,83,72,3.24,BR,1712464802
319,onega,63.9061,38.1404,18.86,94,66,8.28,RU,1712464904
320,arcos,-20.2819,-45.5394,67.71,84,5,10.31,BR,1712464904
321,esfarayen,37.0765,57.5101,53.26,25,59,0.96,IR,1712464905
322,amuntai,-2.4177,115.2494,82.8,75,100,0.72,ID,1712464905
323,qaqortoq,60.7167,-46.0333,26.19,85,100,3.85,GL,1712464905
324,djamaa,33.5339,5.9931,64.76,37,0,7.65,DZ,1712464905
325,dzhetygara,52.1908,61.2006,42.76,94,100,14.09,KZ,1712464878
326,la palma,33.8464,-118.0467,57.22,62,0,8.05,US,1712464906
327,sisophon,13.5859,102.9737,101.97,33,16,5.55,KH,1712464906
328,bandon,51.7469,-8.7425,45.99,89,68,23.78,IE,1712464906
329,wynyard,-41.0,145.7167,65.93,64,100,5.14,AU,1712464906
330,ketchikan,55.3422,-131.6461,37.87,87,40,4.61,US,1712464907
331,petrozavodsk,61.7849,34.3469,27.86,95,100,4.47,RU,1712464907
332,syktyvkar,61.6764,50.8099,28.13,50,0,8.95,RU,1712464907
333,namibe,-15.1961,12.1522,74.41,77,68,5.91,AO,1712464907
334,tqvarch'eli,42.8404,41.6801,54.19,63,100,0.78,GE,1712464907
335,curillo,1.0333,-75.9191,72.36,95,100,0.76,CO,1712464907
336,midvagur,62.0511,-7.1939,47.23,81,100,16.11,FO,1712464908
337,nzega,-2.479,29.5564,58.59,92,100,2.42,RW,1712464908
338,nar'yan-mar,67.6713,53.087,21.11,94,100,15.01,RU,1712464908
339,mammoth lakes,37.6485,-118.9721,27.32,31,0,3.44,US,1712464908
340,angaur state,6.906,134.13,82.71,80,98,18.92,PW,1712464909
341,balsas,-7.5325,-46.0356,73.47,95,99,3.38,BR,1712464743
342,smithers,54.7804,-127.1743,39.52,52,100,2.3,CA,1712464909
343,nova sintra,14.8667,-24.7167,74.39,75,91,20.83,CV,1712464909
